Gene ID	Gene Name	log2foldchange	p-value
ENSG00000000003	TSPAN6	-0.4	0.002804301
ENSG00000000005	TNMD	-0.5	5.55E-05
ENSG00000000419	DPM1	-0.1	0.132394403
ENSG00000000457	SCYL3	0.4	0.000167078
ENSG00000000460	C1orf112	0.7	1.52E-06
ENSG00000000938	FGR	0.8	8.75E-05
ENSG00000000971	CFH	1.6	8.43E-10
ENSG00000001036	FUCA2	0.2	0.009950621
ENSG00000001084	GCLC	-0.5	3.35E-08
ENSG00000001167	NFYA	0.6	5.24E-07
ENSG00000001460	STPG1	-0.2	0.014316195
ENSG00000001461	NIPAL3	-0.2	0.003098133
ENSG00000001497	LAS1L	0.1	0.009055062
ENSG00000001561	ENPP4	0.1	0.146625121
ENSG00000001617	SEMA3F	0.2	0.008534406
ENSG00000001626	CFTR	-0.3	0.522827047
ENSG00000001629	ANKIB1	0.4	6.71E-10
ENSG00000002016	RAD52	-0.4	6.24E-07
ENSG00000002079	MYH16	-0.3	3.86E-05
ENSG00000002330	BAD	0.2	0.00025581
ENSG00000002549	LAP3	1	7.48E-06
ENSG00000002586	CD99	0.4	7.76E-07
ENSG00000002587	HS3ST1	2.1	2.46E-08
ENSG00000002726	AOC1	1.1	0.016841202
ENSG00000002745	WNT16	-0.3	8.40E-05
ENSG00000002746	HECW1	-0.3	8.62E-06
ENSG00000002834	LASP1	0.5	6.14E-05
ENSG00000002919	SNX11	-0.1	0.199268683
ENSG00000002933	TMEM176A	0.8	9.78E-07
ENSG00000003056	M6PR	0.4	2.61E-07
ENSG00000003096	KLHL13	-0.6	0.000144481
ENSG00000003137	CYP26B1	-0.5	7.67E-06
ENSG00000003147	ICA1	-0.4	0.000914471
ENSG00000003249	DBNDD1	-0.3	0.000245957
ENSG00000003393	ALS2	0.5	3.40E-07
ENSG00000003400	CASP10	-0.1	0.421145752
ENSG00000003402	CFLAR	0.5	1.37E-05
ENSG00000003436	TFPI	1.5	1.38E-06
ENSG00000003509	NDUFAF7	0.3	7.12E-06
ENSG00000003756	RBM5	0.2	0.007318537
ENSG00000003987	MTMR7	-0.2	3.51E-05
ENSG00000003989	SLC7A2	-0.4	0.096821094
ENSG00000004139	SARM1	-0.3	3.40E-05
ENSG00000004142	POLDIP2	-0.3	4.37E-06
ENSG00000004399	PLXND1	0.8	6.01E-09
ENSG00000004455	AK2	0.9	2.12E-05
ENSG00000004468	CD38	0.2	0.385624385
ENSG00000004478	FKBP4	-0.2	0.036499055
ENSG00000004487	KDM1A	0.1	0.065282874
ENSG00000004534	RBM6	0.1	0.133030866
ENSG00000004660	CAMKK1	-0.4	1.48E-06
ENSG00000004700	RECQL	1.1	1.56E-09
ENSG00000004766	VPS50	0.2	0.001011458
ENSG00000004776	HSPB6	0	0.870058992
ENSG00000004777	ARHGAP33	-0.3	0.002397304
ENSG00000004779	NDUFAB1	-0.1	0.28590735
ENSG00000004799	PDK4	-1.5	3.26E-07
ENSG00000004809	SLC22A16	-0.1	0.147913491
ENSG00000004846	ABCB5	-0.3	1.44E-05
ENSG00000004848	ARX	0.5	0.027447528
ENSG00000004864	SLC25A13	0.7	1.16E-05
ENSG00000004866	ST7	-0.7	2.25E-05
ENSG00000004897	CDC27	0.5	7.63E-08
ENSG00000004939	SLC4A1	-0.5	2.71E-08
ENSG00000004948	CALCR	-0.3	1.13E-06
ENSG00000004961	HCCS	0.4	0.001410145
ENSG00000004975	DVL2	0.4	1.35E-07
ENSG00000005001	PRSS22	0	0.666081666
ENSG00000005007	UPF1	0.1	0.000739687
ENSG00000005020	SKAP2	1.6	2.07E-08
ENSG00000005022	SLC25A5	-0.7	3.03E-09
ENSG00000005059	MCUB	1.9	7.85E-08
ENSG00000005073	HOXA11	-0.1	0.07208983
ENSG00000005100	DHX33	0.2	0.002121623
ENSG00000005102	MEOX1	1.3	5.83E-06
ENSG00000005108	THSD7A	1.3	7.21E-09
